All,الكل
Next Day Air,Next Day Air
Next Day Air Letter,Next Day Air Letter
Next Day Air Intra (Puerto Rico),Next Day Air Intra (Puerto Rico)
Next Day Air Saver,Next Day Air Saver
Next Day Air Saver Letter,Next Day Air Saver Letter
2nd Day Air AM,2nd Day Air AM
2nd Day Air AM Letter,2nd Day Air AM Letter
2nd Day Air,2nd Day Air
2nd Day Air Letter,2nd Day Air Letter
3 Day Select,حدد 3 ايام
Ground,سطح الأرض
Ground Commercial,Ground Commercial
Ground Residential,Ground Residential
Canada Standard,Canada Standard
Worldwide Express,Worldwide Express
Worldwide Express Saver,Worldwide Express Saver
Worldwide Express Letter,Worldwide Express Letter
Worldwide Express Plus,Worldwide Express Plus
Worldwide Express Plus Letter,Worldwide Express Plus Letter
Worldwide Expedited,Worldwide Expedited
Customer Packaging,التعبئة والتغليف العملاء
UPS Letter Envelope,UPS Letter Envelope
Customer Supplied Package,Customer Supplied Package
UPS Tube,UPS Tube
PAK,PAK
UPS Express Box,UPS Express Box
UPS Worldwide 25 kilo,يو بي إس دولي 25 كيلو
UPS Worldwide 10 kilo,يو بي إس دولي 10 كيلو
Pallet,Pallet
Small Express Box,Small Express Box
Medium Express Box,Medium Express Box
Large Express Box,Large Express Box
Residential,Residential
Commercial,تجاري
Pounds,جنيهات
Kilograms,كيلوجرام
"Sorry, something went wrong. Please try again or contact us and we'll try to help.",آسف، حدث خطأ. الرجاء المحاولة مرة أخرى أو الاتصال بنا ونحن سوف نحاول لمساعدة.
We can't convert a rate from "%1-%2".,لا يمكننا تحويل نسبة من "%1-%2".
Cannot retrieve shipping rates,لا يمكن استرجاع معدلات الشحن
status,status
error_message,error_message
Empty response,رد فارغ
Delivery Confirmation,Delivery Confirmation
Signature Required,Signature Required
Adult Signature Required,Adult Signature Required
Not Required,غير مطلوب
None,لا شئ
label,التسمية
United Parcel Service,خدمة الطرود المتحدة
United Parcel Service XML,خدمة الطرود المتحدة XML
Field,Field
is required.,مطلوب.
UPS,UPS
Access License Number,Access License Number
Enabled for Checkout,Enabled for Checkout
Allowed Methods,شركات الشحن المسموح بها
Packages Request Type,Packages Request Type
Container,حاوية
Enable Free Shipping Threshold,Enable Free Shipping Threshold
Free Shipping Amount Threshold,Free Shipping Amount Threshold
Destination Type,Destination Type
Free Method,Free Method
Gateway URL,رابط البوابة
Gateway XML URL,بوابة XML الموقع
Calculate Handling Fee,حساب رسوم التوصيل
Handling Applied,تم تطبيق المعاملة
Handling Fee,رسوم التوصيل
Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight),الحد الاقصى لوزن الطرد (الشحن الخاص بك، يرجى الرجوع إلى الناقل عن الحد الأقصى للوزن الشحن)
Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight),Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)
Origin of the Shipment,Origin of the Shipment
Password,كلمة المرور
Pickup Method,Pickup Method
Sort Order,الترتيب
Title,العنوان
Tracking XML URL,متابعة XML الموقع
UPS Type,UPS Type
Live Account,Live Account
Weight Unit,وحدة الوزن
User ID,رمز التعريفي للمستخدم
Enable Negotiated Rates,اتاحة أسعار للتفاوض
Shipper Number,رقم الشاحن
Required for negotiated rates; 6-character UPS,Required for negotiated rates; 6-character UPS
Ship to Applicable Countries,Ship to Applicable Countries
Ship to Specific Countries,Ship to Specific Countries
Show Method if Not Applicable,Show Method if Not Applicable
Displayed Error Message,رسالة الخطأ المعروضة
Mode,Mode
This enables or disables SSL verification of the Magento server by UPS.,This enables or disables SSL verification of the Magento server by UPS.
Debug,نقح
Edit URL Rewrite for a Category,تعديل كتابة عنوان URL لقسم
Add URL Rewrite for a Category,اضافة URL لقسم
Category:,القسم:
We can't set up a URL rewrite because the product you chose is not associated with a website.,ونحن لا يمكن إعداد إعادة كتابة URL لأن المنتج الذي اخترته لا يرتبط بموقع على شبكة الإنترنت.
Please assign a website to the selected category.,الرجاء تعيين موقع ويب للفئة المحددة.
Edit URL Rewrite for a Product,تعديل كتابة عنوان URL للمنتج
Add URL Rewrite for a Product,اضافة URL إعادة كتابة لمنتج
Product:,المنتج:
Skip Category Selection,تخطي اختيار القسم
ID,التعريف
Name,اسم
SKU,SKU
Status,الحاله
Edit URL Rewrite for CMS page,تعديل كتابة عنوان URL لصفحة نظام إدارة المحتويات
Add URL Rewrite for CMS page,إضافة إعادة كتابة عنوان URL لصفحة نظام إدارة المحتويات
CMS page:,صفحة نظام إدارة المحتويات:
Please assign a website to the selected CMS page.,الرجاء أختيار موقع للمحتوى المحدد.
Title,العنوان
URL Key,مفتاح URL
Store View,عرض المتجر
Edit URL Rewrite,تعديل إعادة كتابة URL
Add New URL Rewrite,إضافة إعادة كتابة URL جديد
Reset,اعادة ضبط
Back,رجوع
Delete,احذف
Are you sure you want to do this?,هل أنت متأكد أنك تريد فعل ذلك؟
Save,حفظ
Block Information,اغلاق المعلومات
URL Rewrite Information,معلومات إعادة كتابة URL
Request Path,طريق الطلب
Target Path,طريق الهدف
Redirect Type,نوع إعادة التوجيه
Description,الوصف
Store,متجر
URL Rewrite Management,إدارة إعادة كتابة URL
Add URL Rewrite,إضاف إعادة كتابة URL
Custom,مخصص
For Category,For Category
For Product,For Product
For CMS page,للمحتوى
Create URL Rewrite,Create URL Rewrite
You deleted the URL rewrite.,تم حذف إعادة كتابة URL.
We can't delete URL Rewrite right now.,لا يمكننا حذف "إعادة كتابة عنوان الأنترنت" الآن.
URL Rewrites,إعادة التوجيه
The product you chose is not associated with the selected store or category.,المنتج الذي اخترته غير مرتبطة بالمخزن المحدد أو تصنيف.
The category you chose is not associated with the selected store.,التصنيف الذي اخترته لا يرتبط مع المخزن المحدد.
The URL Rewrite has been saved.,لقد تم حفظ إعادة كتابة عنوان URL.
Something went wrong while saving URL Rewrite.,حدث خطأ أثناء حفظ كتابة عنوان URL.
Do not use two or more consecutive slashes in the request path.,لا تستخدم الخطوط المائلة متتالية // اثنين أو أكثر في مسار الطلب.
Anchor symbol (#) is not supported in request path.,رمز رابط النص (#) غير معتمد في مسار الطلب.
Do not use two or more consecutive slashes in the url rewrite suffix.,عدم استخدام اثنين أو أكثر من شرائح // متتالية في كتابة لاحقة url.
Anchor symbol (#) is not supported in url rewrite suffix.,رمز رابط النص (#) غير معتمد في إعادة كتابة لاحقة url.
No,لا
Temporary (302),خطأ (302)
Permanent (301),دائم (301)
Request Path for Specified Store,طلب مسار متجر محدد
URL key for specified store already exists.,مفتاح URL للمتجر المحدد موجود بالفعل.
Custom storage message,رسالة المتجر المخصص
Select Category,اختر قسم
Action,إجراء
Edit,تعديل
Back,رجوع
Reset,اعادة ضبط
Delete Role,حذف الدور
Are you sure you want to do this?,هل أنت متأكد أنك تريد فعل ذلك؟
Save Role,حفظ الدور
Roles,ادوار
Add New Role,اضف دور جديد
Role Information,معلومات الدور
Role Users,مستخدمين الدور
User ID,رمز التعريفي للمستخدم
User Name,اسم المستخدم
First Name,الإسم الأول
Last Name,اسم العائلة
